   50       0.004       0.126       0.012       0.219
  100       0.040       0.398       0.028       0.333
  150       0.088       0.587       0.080       0.560
  200       0.204       0.880       0.128       0.704
  250       0.296       1.047       0.196       0.863
  300       0.472       1.290       0.268       1.000
  350       0.884       1.660       0.392       1.189
  400       1.092       1.809       0.524       1.350
  450       3.532       1.535       0.628       1.455
  500       4.992       1.764       0.832       1.624
  550       6.864       2.152       1.032       1.750
  600       7.368       1.534       1.108       1.790
  650       9.116       1.803       1.344       1.889
  700      10.696       1.892       1.520       1.942
  750      12.472       1.290       1.844       1.994
  800      13.596       1.959       2.180       1.992
  850      16.656       1.481       2.368       1.966
  900      11.172       1.621       2.660       1.888
  950      11.516       1.376       2.944       1.763
 1000       9.788       1.989       3.256       1.556
