   50       0.024       0.309       0.012       0.219
  100       0.036       0.378       0.056       0.470
  150       0.060       0.486       0.072       0.532
  200       0.092       0.600       0.088       0.587
  250       0.148       0.755       0.100       0.624
  300       0.244       0.957       0.156       0.774
  350       0.312       1.073       0.196       0.863
  400       0.744       1.556       0.276       1.014
  450       0.532       1.358       0.344       1.121
  500       0.668       1.492       0.448       1.261
  550       1.076       1.774       0.492       1.314
  600       1.560       1.951       0.664       1.488
  650       2.100       1.997       0.704       1.523
  700       2.336       1.972       0.816       1.612
  750       2.752       1.853       0.980       1.720
  800       3.260       1.691       1.148       1.809
  850       3.596       1.512       1.428       1.916
  900       4.064       1.185       1.564       1.952
  950       4.628       1.455       1.728       1.981
 1000       4.800       1.600       1.696       1.977
