   50       0.004       3.998
  100       0.016      15.986
  150       0.040      39.962
  200       0.072      71.930
  250       0.108     107.894
  300       0.152     151.850
  350       0.212     211.790
  400       0.272     271.730
  450       0.348     347.654
  500       0.432     431.570
  550       0.516     515.486
  600       0.620     619.382
  650       0.720     719.282
  700       0.836     835.166
  750       0.960     959.042
  800       1.108    1106.893
  850       1.236    1234.765
  900       1.392    1390.609
  950       1.832    1830.169
 1000       2.300    2297.701
