   50       0.000       0.000
  100       0.020      19.982
  150       0.040      39.962
  200       0.108     107.894
  250       0.144     143.858
  300       0.244     243.758
  350       0.316     315.686
  400       0.748     747.254
  450       0.532     531.470
  500       0.684     683.318
  550       0.960     959.042
  600       1.508    1506.493
  650       1.884    1882.117
  700       2.264    2261.737
  750       2.588    2585.413
  800       3.576    3572.424
  850       3.748    3744.252
  900       4.096    4091.904
  950       4.332    4327.668
 1000       4.956    4951.044
