  500       5.600       1.960       0.000       0.000
 1000      11.200       1.600       4.000       0.000
 1500      38.400       3.200       8.000       0.000
 2000      67.200       5.879      16.800       2.993
 2500     104.000      12.133      26.400       3.200
 3000     131.200       6.882      31.200       1.600
 3500     192.800       3.919      44.000       0.000
 4000     264.000       6.197      56.800       1.600
 4500     332.800       6.882      71.200       2.993
 5000     384.000      17.344      92.800       5.307
 5500     500.800      16.278     110.400       3.200
 6000     524.800      13.948     124.000       4.382
 6500     662.400      13.048     154.400       4.079
 7000     728.800      30.505     188.800      16.278
 7500     933.600      25.248     201.600       9.330
 8000    2600.000     179.760     246.400      13.764
 8500    1197.600      14.221     272.800      19.333
 9000    1204.800      38.979     284.800      12.750
 9500    1573.600      66.096     311.200       6.400
10000    1665.600      61.480     371.200      20.923
