  500       4.000       0.000       1.600       1.960
 1000      10.400       1.960       2.800       1.833
 1500      31.600       1.200       7.600       1.200
 2000      52.400       1.200      13.200       1.833
 2500      92.000       1.789      23.200       1.600
 3000     124.800       2.400      31.600       1.200
 3500     189.200       3.600      41.600       1.960
 4000     300.000      22.343      77.200      13.977
 4500     320.400       5.499      68.800       1.600
 5000     356.800       5.307      84.800       1.600
 5500     459.600       7.031     104.000       1.789
 6000     554.800      51.445     150.000      33.621
 6500     614.400       9.992     143.200       1.600
 7000     710.000      52.406     195.200      42.551
 7500     933.600     112.658     216.800      39.468
 8000    2358.400      55.834     220.800       1.600
 8500    1110.000      18.000     245.200       1.833
 9000    1213.200      96.317     319.600      65.956
 9500    1581.600     144.612     368.000      78.138
10000    1581.200      24.983     356.000       0.000
