  500       1.200       1.833       0.800       1.600
 1000       6.800       1.833       2.800       1.833
 1500      20.000       0.000       4.000       0.000
 2000      44.800       1.600      10.400       1.960
 2500      73.200       2.561      16.000       0.000
 3000     111.200       2.400      23.600       1.200
 3500     153.600       3.666      31.200       1.600
 4000     206.000       4.817      40.400       1.200
 4500     258.800       5.946      52.000       0.000
 5000     315.600       5.783      64.400       1.200
 5500     377.200       7.808      78.400       1.960
 6000     464.800      10.088      91.200       1.600
 6500     536.800       9.432     108.400       5.499
 7000     630.000      11.489     125.200       1.833
 7500     743.200      13.717     144.400       1.200
 8000    1546.800      26.111     164.000       0.000
 8500     940.800      18.487     184.400       1.200
 9000    1035.600      19.137     206.400       1.960
 9500    1176.800      22.471     232.000       1.789
10000    1306.800      25.553     260.400       1.200
