   50       0.016       0.252       0.000       0.000
  100       0.044       0.417       0.020       0.282
  150       0.116       0.671       0.048       0.436
  200       0.200       0.872       0.124       0.693
  250       0.288       1.034       0.212       0.896
  300       0.552       1.380       0.176       0.820
  350       0.616       1.444       0.356       1.139
  400       0.972       1.716       0.372       1.162
  450       3.328       1.495       0.592       1.420
  500       4.688       1.510       0.772       1.579
  550       6.016       2.000       0.944       1.698
  600       7.124       1.654       1.124       1.798
  650       9.088       1.780       1.320       1.881
  700      10.888       2.089       1.636       1.967
  750      12.128       0.704       1.896       1.997
  800      13.564       1.952       2.164       1.993
  850      16.340       1.225       2.356       1.984
  900      11.104       1.824       2.644       1.893
  950      11.672       1.777       3.060       1.770
 1000      10.000       2.132       3.308       1.575
