   50       0.012       0.219       0.000       0.000
  100       0.032       0.356       0.020       0.282
  150       0.068       0.517       0.052       0.453
  200       0.140       0.735       0.108       0.648
  250       0.176       0.820       0.176       0.820
  300       0.424       1.231       0.192       0.855
  350       0.556       1.384       0.304       1.060
  400       0.756       1.566       0.420       1.226
  450       0.996       1.730       0.512       1.336
  500       1.460       1.942       0.640       1.466
  550       2.832       2.396       0.772       1.579
  600       5.040       1.852       0.952       1.703
  650       5.732       2.122       1.128       1.800
  700       6.760       2.109       1.300       1.873
  750       8.920       2.012       1.568       1.953
  800       8.848       1.635       1.600       1.960
  850      11.040       2.285       2.092       2.006
  900      11.388       1.608       2.164       2.009
  950      12.736       1.550       2.372       1.965
 1000      14.304       2.009       2.648       1.901
