   50       0.008       7.994
  100       0.024      23.978
  150       0.060      59.942
  200       0.148     147.854
  250       0.188     187.814
  300       0.384     383.618
  350       0.584     583.418
  400       0.780     779.222
  450       0.984     983.018
  500       1.192    1190.809
  550       2.156    2153.845
  600       4.276    4271.724
  650       5.620    5614.380
  700       6.692    6685.308
  750       7.696    7688.304
  800       8.724    8715.276
  850       9.996    9986.004
  900      11.024   11012.976
  950      12.228   12215.772
 1000      13.796   13782.204
