#Matrix multoplication times in ms
#    n         Tij         Tji     sd(Tij)     sd(Tji)
   500   0.004225   0.000650   0.000163   0.000039
  1000   0.019971   0.003334   0.000400   0.000030
  1500   0.058646   0.007631   0.001283   0.000043
  2000   0.108188   0.013562   0.002380   0.000095
  2500   0.206861   0.021139   0.004343   0.000140
  3000   0.323518   0.030769   0.006023   0.000092
  3500   0.473017   0.041442   0.007495   0.000083
  4000   0.697143   0.057561   0.025102   0.006424
  4500   0.856936   0.069184   0.015989   0.000552
  5000   1.060740   0.086622   0.016873   0.000158
  5500   1.287067   0.106039   0.026186   0.000205
  6000   1.564011   0.124277   0.031754   0.001210
  6500   1.802424   0.147207   0.029120   0.000237
  7000   2.111724   0.169907   0.041040   0.000148
  7500   2.407688   0.193798   0.039776   0.000168
  8000   3.243700   0.225853   0.065019   0.000213
  8500   3.136779   0.247436   0.051526   0.000228
  9000   3.630738   0.277849   0.069973   0.000417
  9500   4.022047   0.312295   0.078591   0.000299
 10000   5.224213   0.347756   0.129291   0.009678
